Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
1,1000,99.68,97.0,24179.06
2,233,100.0,94.42,5693.98
3,1000,99.68,98.0,24504.66
4,1000,99.04,99.0,24516.33
5,1000,99.84,98.5,24592.05
6,492,100.0,95.33,12107.54
7,1000,98.88,98.7,24441.44
8,1000,98.4,99.7,24540.11
9,1000,98.56,99.1,24578.15
10,1000,99.84,98.8,24461.14
11,1000,99.2,98.7,24487.2
12,1000,99.84,97.2,24681.52
13,681,100.0,99.56,16726.72
14,1000,99.36,99.5,24346.99
15,1000,99.36,97.3,23709.71
16,1000,99.2,99.9,23561.65
17,1000,97.44,100.0,23654.78
18,1000,99.36,98.8,23604.94
19,1000,99.2,100.0,23769.84
20,1000,99.52,99.9,24138.79
21,1000,99.52,99.6,23956.94
22,1000,98.88,99.6,23899.11
23,1000,99.84,97.2,23979.73
24,1000,98.56,99.1,24843.06
25,1000,99.84,98.4,24966.3
26,1000,99.84,97.2,25601.49
27,1000,99.68,96.0,24565.42
28,1000,99.04,99.4,24739.23
29,1000,99.04,98.4,24502.01
30,693,100.0,98.99,17009.46
31,1000,99.52,98.3,26701.92
32,1000,99.52,99.3,24894.68
33,1000,97.76,99.2,25349.97
34,1000,99.04,97.3,24717.92
35,810,100.0,97.53,20065.34
36,1000,99.84,99.4,24549.73
37,1000,99.84,99.0,24634.9
38,1000,99.84,98.1,24861.6
39,1000,99.84,99.1,24699.15
40,1000,99.2,99.6,24755.59
41,1000,99.04,99.2,24608.94
42,1000,99.68,99.5,24590.12
43,1000,99.84,99.1,24688.97
44,1000,98.08,98.6,24593.4
45,1000,99.68,99.0,24809.93
46,1000,99.36,95.5,24583.93
47,1000,99.36,99.6,24686.96
48,1000,99.04,99.2,24618.52
49,1000,99.2,99.5,24736.01
50,393,100.0,92.11,9803.68
51,1000,99.36,98.3,25249.62
52,1000,99.68,99.3,24886.51
53,1000,99.04,98.4,24930.45
54,1000,98.88,99.2,24814.95
55,1000,99.2,99.5,24888.16
56,1000,98.56,99.5,24880.33
57,1000,99.2,98.3,25305.18
58,1000,99.68,98.0,24965.96
59,1000,99.68,97.9,25171.37
60,1000,98.24,99.7,24776.11
61,1000,99.84,98.4,24932.07
62,1000,98.72,99.6,24923.4
63,1000,99.84,99.7,25287.4
64,1000,99.68,96.3,24794.53
65,1000,99.52,93.3,24961.51
66,235,100.0,88.94,5853.49
67,1000,99.84,96.8,25022.12
68,1000,99.84,97.9,24949.06
69,1000,99.52,99.3,24890.12
70,1000,99.68,99.6,25062.47
71,1000,99.52,99.1,24922.07
72,1000,98.72,99.5,24966.91
73,1000,98.72,97.9,24827.63
74,1000,99.84,99.1,24904.12
75,1000,99.2,99.8,24884.91
76,1000,99.2,99.3,25222.88
77,1000,99.04,96.6,25117.75
78,1000,99.04,98.3,25160.1
79,1000,98.56,93.6,24939.69
80,1000,99.2,98.9,25129.36
