Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
1,1000,99.68,99.8,29348.14
2,1000,99.2,99.5,29523.28
3,411,100.0,100.0,12212.42
4,1000,99.2,100.0,30555.03
5,733,100.0,99.86,21902.34
6,532,100.0,97.56,16012.11
7,1000,98.88,99.7,30173.12
8,1000,99.2,99.3,29863.81
9,1000,97.6,99.7,30616.66
10,1000,99.84,99.8,30219.2
11,1000,99.36,100.0,29944.87
12,1000,99.2,99.6,29670.8
13,364,100.0,99.73,11128.68
14,1000,98.88,99.6,31620.75
15,398,100.0,97.74,12970.59
16,1000,99.84,99.7,32251.7
17,1000,98.08,99.0,31641.97
18,1000,99.84,99.6,31501.0
19,1000,99.36,100.0,31348.31
20,369,100.0,100.0,11659.93
21,637,100.0,99.69,19931.25
22,1000,99.68,98.8,31573.03
23,1000,99.36,100.0,31450.43
24,1000,99.36,99.6,31389.25
25,1000,99.84,99.8,31107.15
26,1000,98.88,99.5,31980.48
27,156,100.0,96.79,4862.25
28,1000,99.68,99.8,30927.43
29,1000,98.88,99.8,30806.48
30,1000,99.84,100.0,31006.09
31,1000,99.84,99.9,30827.04
32,1000,98.56,100.0,30729.66
33,1000,99.2,99.8,30623.45
34,1000,98.72,96.9,30577.66
35,1000,99.68,99.8,30712.52
36,1000,99.52,99.5,30917.59
37,1000,99.36,98.9,30248.55
38,1000,99.68,98.9,31643.43
39,1000,99.68,98.8,30110.94
40,1000,99.2,99.9,29014.52
41,144,100.0,98.61,4135.56
42,1000,99.68,100.0,28860.25
43,1000,98.72,99.8,28852.23
44,1000,99.52,98.4,28879.63
45,1000,99.52,100.0,28850.64
46,1000,99.84,99.8,28739.47
47,1000,99.04,100.0,29081.25
48,1000,99.52,100.0,29836.45
49,771,100.0,99.87,23035.71
50,732,100.0,99.45,22381.47
51,1000,99.68,100.0,29676.15
52,1000,99.2,99.4,29575.14
53,1000,98.56,98.1,29353.33
54,1000,99.04,100.0,29596.01
55,1000,99.52,99.2,29264.68
56,1000,98.72,99.6,33712.61
57,1000,99.84,99.8,30089.73
58,284,100.0,99.65,8646.0
59,1000,99.2,99.9,30391.3
60,1000,99.68,100.0,30215.55
61,1000,99.36,99.7,30132.52
62,1000,99.84,99.0,30113.31
63,1000,99.36,100.0,30131.19
64,1000,99.2,99.4,29827.06
65,1000,99.52,99.6,30010.56
66,1000,99.68,99.5,30122.84
67,1000,99.68,95.2,30176.47
68,566,100.0,99.47,17199.49
69,1000,99.84,100.0,30734.59
70,1000,99.84,99.7,29917.99
71,1000,99.52,100.0,30354.47
72,1000,99.2,99.5,29979.24
73,1000,98.72,99.0,29760.84
74,1000,99.36,99.6,29991.61
75,1000,99.52,99.6,29985.65
76,1000,99.84,99.6,29946.75
77,1000,99.52,100.0,29972.28
78,1000,99.84,98.0,30449.48
79,434,100.0,95.62,13141.24
80,1000,98.88,100.0,29949.72
81,1000,99.2,99.8,29886.59
82,1000,99.84,100.0,29940.2
83,463,100.0,99.78,13931.15
84,1000,99.2,100.0,30009.15
85,1000,99.2,100.0,29703.11
86,1000,99.84,99.9,29912.57
87,1000,99.68,97.8,29968.01
88,428,100.0,99.77,12893.23
89,1000,98.56,99.1,30530.46
90,1000,99.84,99.9,30195.27
91,1000,98.24,100.0,30524.84
92,1000,99.2,99.8,30054.01
93,1000,99.84,100.0,30024.52
94,193,100.0,91.19,5837.3
95,213,100.0,97.65,6401.28
96,1000,99.52,99.1,30069.84
97,1000,99.52,99.4,30467.38
98,1000,99.2,99.7,30273.58
99,1000,98.4,99.9,29920.88
100,188,100.0,95.21,5604.62
101,1000,99.84,99.2,29985.09
102,1000,98.24,99.2,30400.36
103,1000,99.36,99.1,30253.98
104,481,100.0,99.17,14545.47
105,489,100.0,100.0,14770.18
106,1000,99.36,99.8,30328.45
107,1000,99.84,97.0,30287.62
108,1000,99.68,98.8,30116.68
109,1000,99.84,100.0,29847.59
110,1000,99.2,99.5,30048.59
111,362,100.0,98.9,10806.72
112,1000,97.6,99.7,29664.01
113,1000,99.68,98.0,29902.29
114,1000,99.68,99.5,30001.14
115,293,100.0,99.66,8865.77
116,1000,99.84,98.3,30595.31
117,1000,98.88,99.9,30117.07
118,1000,99.84,99.9,29904.74
119,1000,98.88,99.2,30148.74
120,1000,99.84,99.2,29938.41
121,1000,99.84,99.9,30281.14
122,239,100.0,100.0,7253.1
123,1000,98.88,99.9,30020.14
124,1000,99.04,100.0,30112.75
125,1000,99.2,99.9,29976.2
126,1000,99.84,99.9,33116.27
127,1000,99.52,99.9,30081.71
128,379,100.0,99.47,11652.57
129,1000,99.52,99.6,30248.78
130,1000,98.72,100.0,30217.89
131,1000,99.36,99.8,30338.09
132,1000,99.68,100.0,29991.0
133,1000,98.72,99.4,30186.71
134,1000,99.52,99.5,30058.85
135,1000,99.68,99.6,29952.67
136,1000,99.68,97.4,30211.85
137,1000,98.08,100.0,30017.06
138,1000,99.68,99.5,29438.34
139,244,100.0,99.59,7168.83
140,1000,99.84,100.0,30011.25
141,1000,99.52,99.9,29506.33
142,1000,99.36,97.8,29430.09
143,1000,99.84,99.8,29729.36
144,1000,98.88,99.9,29327.48
145,755,100.0,100.0,22231.37
146,1000,99.84,99.6,29580.95
147,1000,99.36,99.9,29751.16
148,1000,99.52,100.0,29935.2
149,1000,99.68,99.9,29578.59
150,1000,99.52,98.3,29737.69
151,1000,98.72,99.8,29492.3
152,1000,99.68,99.4,29607.96
153,1000,99.52,99.7,29364.67
154,1000,99.2,99.1,29431.8
155,1000,99.52,99.9,29319.27
156,550,100.0,99.09,16592.14
157,318,100.0,100.0,9592.86
158,1000,99.04,99.8,30352.21
159,1000,99.84,99.7,30304.61
160,1000,99.84,99.3,29841.04
161,538,100.0,89.03,16065.9
162,1000,99.52,99.8,30317.33
163,260,100.0,97.31,7845.34
164,1000,99.68,99.6,30141.39
165,1000,99.2,99.9,30021.92
166,1000,99.36,99.7,30251.84
167,1000,99.52,98.5,30058.27
168,1000,98.56,99.3,30138.59
169,1000,98.88,99.9,30358.05
170,1000,98.88,98.5,30360.53
171,1000,99.68,100.0,30288.51
172,1000,99.2,99.6,30324.56
173,1000,99.52,99.7,30459.04
174,1000,99.84,99.9,30306.43
175,1000,99.36,99.8,30112.24
176,1000,99.52,100.0,29752.2
177,1000,98.88,99.9,29832.46
178,1000,98.56,99.9,29876.65
179,1000,99.04,99.8,29971.71
180,1000,99.04,99.7,30343.39
181,1000,97.44,99.8,29988.94
182,1000,98.4,99.4,29996.76
183,1000,99.36,99.8,30296.28
184,1000,99.36,98.7,29959.34
185,1000,97.92,99.9,30027.89
186,1000,99.04,100.0,30000.64
187,1000,99.52,100.0,29910.7
188,963,100.0,99.38,28844.07
