Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
1,1000,99.68,100.0,86114.54
2,610,100.0,99.67,53469.01
3,1000,99.2,100.0,87196.26
4,538,100.0,98.88,46806.1
5,645,100.0,100.0,55780.45
6,1000,95.52,99.9,86947.39
7,1000,99.84,99.1,86780.0
8,1000,99.84,100.0,86270.08
9,1000,99.2,99.9,85865.76
10,1000,99.84,99.7,86527.03
11,1000,99.04,99.7,86663.44
12,1000,99.68,99.9,86599.04
13,1000,99.68,100.0,86055.21
14,1000,99.04,100.0,86515.48
15,1000,99.84,99.0,86620.39
16,1000,99.36,99.7,86621.05
17,1000,99.68,99.6,86226.49
18,1000,99.68,99.5,86867.46
19,1000,98.08,78.3,86297.16
20,425,100.0,96.24,36930.96
21,1000,99.84,99.7,86557.49
22,1000,99.04,100.0,86640.6
23,747,100.0,99.33,64882.47
24,1000,99.84,99.3,86637.35
25,1000,98.24,100.0,86411.22
26,384,100.0,99.74,33268.96
27,1000,99.04,98.1,86794.39
28,1000,99.84,99.7,86882.35
29,1000,99.68,100.0,86861.6
30,771,100.0,99.61,66739.0
31,1000,98.88,99.3,86551.01
32,1000,99.68,100.0,86580.35
33,1000,98.88,100.0,86247.94
34,574,100.0,97.39,49773.44
35,1000,99.68,99.6,87116.19
36,324,100.0,99.38,28266.75
37,1000,99.84,100.0,86279.43
38,700,100.0,98.86,60961.6
39,1000,99.84,100.0,86857.38
40,1000,99.68,99.8,86682.37
41,1000,99.84,100.0,86847.19
42,1000,99.84,99.9,86745.74
43,1000,99.2,100.0,86575.75
44,1000,99.68,99.1,85820.87
45,1000,99.84,100.0,86595.04
46,309,100.0,100.0,26673.13
47,1000,99.68,100.0,87034.54
48,1000,99.52,99.4,86312.39
49,1000,99.2,99.8,86359.5
50,1000,99.52,100.0,85663.69
51,1000,99.68,99.9,86765.82
52,459,100.0,99.78,40122.77
53,1000,99.2,98.5,86066.25
54,944,100.0,100.0,82125.03
55,227,100.0,100.0,19701.21
56,460,100.0,100.0,39517.37
57,1000,99.68,99.8,86693.03
58,1000,99.84,98.3,86540.15
59,1000,98.72,99.7,87041.25
60,1000,99.84,99.8,86851.03
61,1000,99.68,99.3,86644.81
62,1000,99.36,99.3,86985.55
63,1000,99.68,99.9,86472.57
64,1000,99.04,100.0,86930.5
65,218,100.0,100.0,18926.55
66,1000,99.84,99.9,86097.27
67,1000,99.52,99.8,86519.45
68,690,100.0,100.0,59580.9
69,504,100.0,96.03,43616.88
70,1000,99.84,99.8,86291.72
71,1000,99.68,99.8,87243.86
72,1000,99.84,99.5,86197.05
73,248,100.0,100.0,21548.18
74,1000,99.68,98.8,86722.3
75,1000,99.52,100.0,86594.72
76,1000,99.68,99.7,86711.86
77,761,100.0,99.61,65926.51
78,1000,99.36,100.0,86385.02
79,1000,99.68,100.0,86828.78
80,1000,99.52,99.7,87024.6
81,669,100.0,99.55,58101.36
82,517,100.0,100.0,44933.12
83,1000,99.68,99.3,87215.19
84,1000,99.52,99.2,86351.09
85,1000,99.84,99.2,87028.3
86,266,100.0,99.25,23097.47
87,1000,98.4,98.2,86581.58
88,1000,99.84,99.1,86975.81
89,745,100.0,99.33,64623.8
90,1000,99.84,99.8,86480.17
91,1000,99.84,97.0,86965.67
92,1000,99.84,99.5,86991.95
93,812,100.0,99.75,70261.07
94,1000,99.84,99.9,86072.34
95,446,100.0,99.1,38772.19
96,1000,99.36,99.3,86425.3
97,1000,99.04,99.9,86695.94
98,651,100.0,99.23,56447.7
99,199,100.0,100.0,17248.48
100,1000,99.84,99.7,86736.98
101,778,100.0,100.0,67720.04
102,1000,99.36,99.9,87426.89
103,1000,99.84,99.7,86580.95
104,872,100.0,100.0,75773.27
105,1000,99.52,99.4,86658.64
106,1000,99.84,100.0,86625.33
107,1000,99.2,100.0,87036.73
108,1000,99.36,98.2,87155.76
109,1000,99.84,100.0,86570.37
110,1000,99.2,99.9,86692.88
111,1000,99.2,99.8,86736.85
112,1000,99.84,100.0,86734.23
113,181,100.0,100.0,15760.32
114,1000,99.84,98.6,87457.68
115,1000,99.84,99.4,86295.85
116,217,100.0,100.0,18955.08
117,1000,99.68,100.0,86434.82
118,1000,99.84,99.6,86576.15
119,1000,98.4,98.2,87182.91
120,1000,98.08,99.7,86289.06
121,1000,99.68,99.9,86913.12
122,191,100.0,100.0,16787.08
123,1000,99.84,99.7,86626.43
124,1000,99.52,99.6,86924.55
125,1000,99.2,100.0,87187.34
126,212,100.0,100.0,18068.31
127,1000,99.36,100.0,86677.42
128,1000,99.04,98.9,86736.01
129,1000,99.68,100.0,86691.35
130,1000,99.52,100.0,86942.76
131,284,100.0,100.0,24273.67
132,1000,99.68,99.1,87301.67
133,1000,99.68,99.5,86672.4
134,1000,99.36,100.0,86278.09
135,1000,99.36,99.6,86869.73
136,1000,99.84,98.7,86745.37
137,1000,99.36,100.0,86864.0
138,1000,99.52,100.0,86571.03
139,1000,99.84,99.8,86352.75
140,1000,99.68,99.7,86658.92
141,1000,99.68,99.6,86657.81
142,1000,99.52,100.0,86732.84
143,1000,99.84,99.8,86944.29
144,1000,99.84,99.9,86875.34
145,1000,99.68,100.0,85147.14
146,553,100.0,99.82,47939.51
147,1000,99.84,100.0,86790.83
148,1000,99.52,97.5,86902.8
149,1000,99.68,98.6,86124.5
150,1000,98.88,98.8,86975.65
151,1000,99.84,99.6,86697.38
152,1000,99.68,99.8,86545.36
153,1000,99.84,99.5,87096.25
154,1000,99.84,100.0,86454.92
155,378,100.0,97.62,32996.18
156,1000,99.84,98.8,86345.44
157,1000,99.68,99.7,86487.61
158,1000,99.68,99.8,87180.51
159,1000,99.84,99.5,86898.74
160,1000,99.84,100.0,87227.43
161,1000,99.84,100.0,87068.02
162,1000,99.68,100.0,86363.2
163,1000,99.84,99.9,86803.38
164,1000,99.84,99.5,86655.23
165,1000,99.36,96.9,87346.91
166,1000,99.68,99.6,86772.31
167,1000,88.0,71.3,86540.55
168,1000,98.24,99.9,86883.42
169,1000,98.88,99.8,87107.09
170,1000,99.84,99.3,86475.7
171,1000,99.68,99.9,86854.91
172,1000,99.68,97.5,86350.49
173,904,100.0,96.02,76422.82
174,311,100.0,100.0,27153.5
175,1000,99.68,99.6,86281.43
176,1000,99.84,99.0,86674.25
177,1000,99.84,100.0,87118.27
178,1000,99.84,99.9,86055.75
179,1000,99.68,99.7,87022.85
180,1000,99.84,98.9,87462.26
181,1000,99.04,98.8,86480.23
182,157,100.0,100.0,13643.74
183,1000,99.84,99.9,86728.05
184,488,100.0,100.0,42134.84
185,1000,99.36,100.0,86619.26
186,1000,99.68,100.0,86693.07
187,1000,99.04,99.5,87010.09
188,1000,99.36,99.3,86389.78
189,1000,99.52,99.2,86843.94
190,1000,99.84,99.6,86887.36
191,1000,99.84,100.0,86274.15
192,1000,99.84,99.9,87001.0
193,1000,99.2,96.0,86703.94
194,1000,99.84,96.0,86892.34
195,1000,99.84,99.7,86674.73
196,1000,99.36,100.0,86451.68
197,534,100.0,98.88,46720.64
198,239,100.0,99.58,20495.03
199,437,100.0,97.94,38238.05
200,1000,99.84,99.9,86686.07
201,1000,99.68,100.0,87423.35
202,857,100.0,99.65,74669.88
203,1000,99.84,99.9,87056.36
204,378,100.0,100.0,32907.67
205,1000,99.84,99.8,87001.51
206,1000,99.52,100.0,87433.74
207,1000,99.84,99.9,87811.28
208,226,100.0,90.27,19574.42
209,1000,99.84,99.9,87205.66
210,1000,99.84,99.3,87416.84
211,1000,99.84,99.6,87351.22
212,1000,99.84,99.7,87254.97
213,1000,99.68,99.6,86648.05
214,1000,99.84,99.1,86809.24
215,1000,99.36,99.9,87426.32
216,1000,99.2,99.8,86897.75
217,1000,99.84,99.4,87071.1
218,1000,98.72,96.3,87344.99
219,1000,99.84,99.9,86509.77
220,1000,99.84,99.9,87476.42
221,1000,99.84,100.0,86839.83
222,1000,99.36,100.0,87607.14
223,427,100.0,100.0,37116.18
224,1000,99.84,100.0,87517.09
225,246,100.0,97.97,21396.0
226,1000,99.36,99.9,86926.19
227,603,100.0,100.0,52448.73
228,1000,98.88,99.7,87255.87
229,1000,99.68,99.7,86963.17
230,1000,99.04,99.1,87055.21
231,1000,99.68,99.3,87004.49
232,1000,99.52,100.0,87188.81
233,485,100.0,99.79,41836.48
234,1000,99.36,100.0,87128.43
235,1000,99.36,99.1,86703.33
236,1000,99.68,99.9,86703.05
237,1000,99.68,99.7,85338.42
238,1000,99.36,100.0,87290.69
239,1000,99.68,100.0,87339.27
240,1000,99.2,100.0,86519.11
241,1000,99.52,99.5,86861.25
242,590,100.0,100.0,49819.57
243,789,100.0,100.0,68487.02
244,1000,99.68,99.9,86845.67
245,1000,99.52,98.8,86593.79
246,1000,99.36,100.0,86652.17
247,575,100.0,100.0,49793.2
248,713,100.0,100.0,61666.97
249,1000,99.52,99.8,86916.57
250,1000,99.68,100.0,86368.62
251,356,100.0,100.0,31091.94
252,320,100.0,100.0,27791.4
253,180,100.0,100.0,15570.43
254,1000,98.56,99.6,87030.72
255,912,100.0,99.01,79428.71
256,1000,99.68,99.7,86349.27
257,216,100.0,93.98,18874.82
258,1000,99.04,99.2,86608.41
259,1000,99.68,100.0,85636.8
260,1000,99.68,99.0,86888.41
261,1000,98.88,98.2,86420.56
262,1000,99.84,99.8,86951.91
263,1000,99.84,99.8,86910.05
264,455,100.0,99.78,39112.7
265,939,100.0,99.47,81506.94
266,936,100.0,97.86,80798.13
267,1000,98.72,99.8,86863.98
268,1000,99.2,99.6,86724.97
269,1000,99.84,99.8,86585.32
270,1000,99.84,98.6,87145.45
271,1000,99.36,99.9,86616.24
